Random,Date,Hour,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy,(Inverter),
0.580677501,01-02-2017,12,1,1.85,6.97,6.9,98.24,10.92,29.18,29.97,449.25,,
0.911421296,02-07-2016,9,0,10,3.96,-0.61,70.2,17.96,29.12,29.91,3165.5,,
0.588088119,2-22-2016,9,0.04,10,2.99,-1.34,71.04,10.57,29.37,30.17,2637,,
0.291086165,10-03-2017,8,1,10,21.6,17.14,72.8,11.84,29.53,30.33,710.25,,
0.072473033,2-27-2017,7,1,10,2.75,0.7,85.4,6.64,29.37,30.17,680.5,,
0.79644507,5-25-2016,6,0,10,20.08,17.37,86.04,8.04,29.26,30.05,273.95,,
0.552914558,4-25-2017,13,0,10,26.22,9.53,32.68,19.68,28.85,29.63,4692,,
0.382002851,6-23-2016,10,0.53,10,30.03,24.38,69.92,9.48,29.09,29.88,3000,,
0.453133124,5-28-2017,14,0.73,10,25.62,16.38,55.28,17.2,28.97,29.76,3040.5,,
0.003720129,04-11-2016,7,0.45,7.97,10.1,8.58,88.27,10.18,29.1,29.89,297.75,,
0.073523253,10-10-2016,10,0,10,20.94,10.2,49.96,3.96,29.55,30.35,3481.25,,
0.919263402,6-19-2016,17,0.14,10,31.03,21.62,54.56,7.4,29.36,30.16,1913.5,,
0.838727077,9-18-2016,17,0,10,26.77,12.52,38.8,0.96,29.17,29.96,1115.5,,
0.150766545,4-20-2016,14,0.99,10,18.91,12.68,66.12,12.6,29.21,30,1166.25,,
0.938102673,3-14-2016,15,0.92,10,14.27,12.51,83.96,6.64,28.92,29.7,1068.5,,
0.71624379,6-19-2017,8,0.43,10,23.35,16.43,65.6,10.32,29.11,29.9,784,,
0.257882278,9-19-2016,14,0,10,30.46,11.92,30.4,9.72,29.25,30.04,4069.5,,
0.386175459,5-24-2016,9,0,10,26,11.9,38.36,11.16,29.25,30.04,3056,,
0.105837263,03-07-2017,17,0,10,9.81,-0.8,45.36,12.32,29.24,30.03,205.63,,
0.530216825,6-22-2017,9,0.96,10,27.64,22.48,72.39,9.8,29.11,29.9,836.25,,
0.890902971,4-15-2016,10,0,10,20.15,2.15,28.96,9.36,29.39,30.19,3422,,
0.570044758,06-05-2017,6,0,8.84,21.34,18.84,87.44,5.48,28.98,29.77,351,,
0.30777494,4-21-2016,8,1,3.2,15.15,14.8,96.84,6.08,29.09,29.88,547.5,,
0.341119643,3-31-2017,17,0.11,6.48,5.73,4.58,27.4,11.67,10.03,29.95,182.5,,
0.967828106,09-11-2017,9,0,10,19.56,11.18,58.36,7.6,29.46,30.26,2790.5,,
0.129753985,06-06-2017,14,0.28,10,25.89,7.49,30.28,18.16,29.18,29.97,4632.75,,
0.791285803,9-17-2017,16,1,10,25.96,17.35,58.36,8.52,29.27,30.06,996,,
0.821459694,11-04-2016,14,0,10,16.12,6.28,51.08,5.16,29.61,30.41,3642.75,,
0.532549868,12-04-2016,7,1,8.04,0.86,-0.29,88.72,7.36,29.33,30.12,41.45,,
0.593368246,01-01-2017,6,0,8.92,-6.49,-6.87,91.68,4.16,29.3,30.09,0,,
0.490480988,6-18-2016,14,0.58,10,29.91,14.02,33.41,7.94,29.4,30.2,4083.25,,
0.574424741,2-25-2016,6,1,10,0.71,-1.22,84.56,12.59,29.05,29.85,5.8,,
